"reviewText,sentiment"
"""This is an excellent product, exceeded my expectations!"",positive"
"""Poor quality, broke after first use."",negative"
"""Amazing customer service and fast delivery!"",positive"
"""The product is just okay, nothing special."",negative"
"""Absolutely love it! Best purchase ever."",positive"
"""Waste of money, don't buy this."",negative"
"""Good value for the price."",positive"
"""Not as advertised, very disappointed."",negative"
"""Perfect size and great functionality."",positive"
"""Difficult to use, confusing instructions."",negative"
"""Incredible performance and reliability."",positive"
"""Stopped working after a month."",negative"
"""Great design and very intuitive."",positive"
"""Too expensive for what you get."",negative"
"""Outstanding quality and durability."",positive"
"""The worst product I've ever bought."",negative"
"""Very satisfied with my purchase."",positive"
"""Package arrived damaged."",negative"
"""Highly recommend this product!"",positive"
"""Customer service was terrible."",negative"
"""Works exactly as described."",positive"
"""Not worth the price."",negative"
"""Superior quality and craftsmanship."",positive"
"""Defective product, had to return."",negative"
"""Easy to set up and use."",positive"
"""Product arrived late and damaged."",negative"
"""Fantastic product, no complaints!"",positive"
"""Does not match the description."",negative"
"""Really impressed with the quality."",positive"
"""Save your money, buy something else."",negative"
